corpus: preloaded/bnc2_tt21
subcorpus: 
size: 42
query: Query:<bncdoc wriaud=="Child">[]
H9E, 1, 105480.10000, 0.00890
H93, 1, 143686.00000, 0.00890
G25, 1, 22546.50000, 0.00890
G24, 1, 22748.10000, 0.00890
G23, 1, 24622.60000, 0.00890
G22, 1, 26767.80000, 0.00890
FUB, 1, 13681.50000, 0.00890
FSL, 1, 47646.10000, 0.00890
FPV, 1, 14952.40000, 0.00890
FPT, 1, 38993.50000, 0.00890
FNS, 1, 36097.10000, 0.00890
FEH, 1, 10334.20000, 0.00890
EFJ, 1, 5601.60000, 0.00890
CHR, 1, 21970.80000, 0.00890
CH9, 1, 33177.50000, 0.00890
CH4, 1, 5704.00000, 0.00890
CFJ, 1, 14817.90000, 0.00890
CE0, 1, 67799.70000, 0.00890
CCA, 1, 19807.20000, 0.00890
CAX, 1, 211936.80000, 0.00890
CAB, 1, 5886.20000, 0.00890
CA3, 1, 6924.60000, 0.00890
C8N, 1, 13197.90000, 0.00890
C85, 1, 5696.70000, 0.00890
BPD, 1, 8342.10000, 0.00890
BMU, 1, 5986.40000, 0.00890
B2V, 1, 108531.00000, 0.00890
B2N, 1, 246385.10000, 0.00890
B1S, 1, 336111.30000, 0.00890
B1H, 1, 5756.70000, 0.00890
B0B, 1, 5785.50000, 0.00890
AT4, 1, 5114.80000, 0.00890
APW, 1, 6127.30000, 0.00890
AMB, 1, 7249.60000, 0.00890
ALS, 1, 54472.10000, 0.00890
AEB, 1, 7144.40000, 0.00890
ACV, 1, 7422.40000, 0.00890
ACB, 1, 5613.10000, 0.00890
AC5, 1, 6291.50000, 0.00890
AC4, 1, 6649.80000, 0.00890
ABX, 1, 6204.90000, 0.00890
A7A, 1, 6899.10000, 0.00890
